VLLDO;OK;12;8,1,2,3,4,5,6,7,8,9,10,11,12
A,4.57;-127.71;152.89;A01,4.35;-127.93;145.51;A02,4.13;-128.15;138.31;A03,4.57;-127.71;152.89;A04,4.35;-127.93;145.51;A05,4.35;-127.93;145.51;A06,4.35;-127.93;145.51;A07,4.13;-128.15;138.31;A08,3.59;-128.69;120.01;A09,3.48;-128.80;116.39;A10,3.08;-129.20;102.96;A11,2.99;-129.29;100.01;A12
B,4.35;-127.93;145.51;B01,4.35;-127.93;145.51;B02,4.35;-127.93;145.51;B03,4.57;-127.71;152.89;B04,4.13;-128.15;138.31;B05,4.35;-127.93;145.51;B06,4.02;-128.26;134.61;B07,3.91;-128.37;130.94;B08,3.19;-129.09;106.67;B09,3.19;-129.09;106.67;B10,2.99;-129.29;100.01;B11,2.29;-129.99;76.56;B12
C,4.35;-127.93;145.51;C01,4.57;-127.71;152.89;C02,4.89;-127.39;163.74;C03,4.35;-127.93;145.51;C04,4.57;-127.71;152.89;C05,4.02;-128.26;134.61;C06,3.59;-128.69;120.01;C07,3.48;-128.80;116.39;C08,3.19;-129.09;106.67;C09,2.68;-129.60;89.61;C10,2.68;-129.60;89.61;C11,2.29;-129.99;76.56;C12
D,4.35;-127.93;145.51;D01,4.57;-127.71;152.89;D02,4.13;-128.15;138.31;D03,4.13;-128.15;138.31;D04,3.91;-128.37;130.94;D05,3.48;-128.80;116.39;D06,3.48;-128.80;116.39;D07,2.91;-129.37;97.24;D08,2.68;-129.60;89.61;D09,2.47;-129.81;82.68;D10,2.05;-130.23;68.57;D11,2.01;-130.27;67.25;D12
E,4.57;-127.71;152.89;E01,4.35;-127.93;145.51;E02,4.13;-128.15;138.31;E03,4.13;-128.15;138.31;E04,3.59;-128.69;120.01;E05,3.59;-128.69;120.01;E06,3.08;-129.20;102.96;E07,2.68;-129.60;89.61;E08,2.53;-129.75;84.76;E09,2.16;-130.12;72.25;E10,2.16;-130.12;72.25;E11,1.72;-130.56;57.68;E12
F,4.57;-127.71;152.89;F01,4.13;-128.15;138.31;F02,4.02;-128.26;134.61;F03,3.48;-128.80;116.39;F04,3.70;-128.58;123.66;F05,2.99;-129.29;100.01;F06,2.75;-129.53;91.94;F07,2.47;-129.81;82.68;F08,2.10;-130.18;70.17;F09,1.87;-130.41;62.43;F10,1.62;-130.66;54.19;F11,1.59;-130.69;53.09;F12
G,4.35;-127.93;145.51;G01,4.02;-128.26;134.61;G02,4.13;-128.15;138.31;G03,3.59;-128.69;120.01;G04,3.19;-129.09;106.67;G05,2.83;-129.45;94.57;G06,2.83;-129.45;94.57;G07,2.47;-129.81;82.68;G08,2.10;-130.18;70.17;G09,1.72;-130.56;57.68;G10,1.59;-130.69;53.09;G11,1.18;-131.10;39.42;G12
H,4.35;-127.93;145.51;H01,3.70;-128.58;123.66;H02,3.48;-128.80;116.39;H03,3.19;-129.09;106.67;H04,2.75;-129.53;91.94;H05,2.60;-129.68;86.90;H06,2.16;-130.12;72.25;H07,2.10;-130.18;70.17;H08,1.87;-130.41;62.43;H09,1.59;-130.69;53.09;H10,-1;4;-1;H11,-1;4;-1;H12
LiquidLevelDetect,VVP96,"96 FlatBottom_01",,Loc_13,0,0,0,05/10/2017 03:54:41
