PlateName,Plate,Well,Sample,WellVol,Conc
1,1,A01,Sample1,800,203.8
1,1,B01,Sample2,800,135
1,1,C01,Sample3,800,213.8
1,1,E01,Sample5,800,252
1,1,F01,Sample6,800,134.3
1,1,G01,Sample7,800,219.1
1,1,H01,Sample8,800,139.6
1,1,A02,Sample9,800,182.6
1,1,B02,Sample10,800,195.6
1,1,C02,Sample11,800,192.4
1,1,D02,Sample12,800,174.2
1,1,E02,Sample13,800,177
1,1,F02,Sample14,800,142.1
1,1,G02,Sample15,800,136.9
1,1,H02,Sample16,800,76.3
1,1,A03,Sample17,800,135.9
1,1,B03,Sample18,800,173.1
1,1,C03,Sample19,800,102.3
1,1,D03,Sample20,800,109.5
1,1,E03,Sample21,800,90.1
1,1,F03,Sample22,800,127.7
1,1,G03,Sample23,800,149
1,1,H03,Sample24,800,127.8
1,1,A04,Sample25,800,139.8
1,1,B04,Sample26,800,247.7
1,1,C04,Sample27,800,112.6
1,1,D04,Sample28,800,129.5
1,1,E04,Sample29,800,96.6
1,1,F04,Sample30,800,82.2
1,1,G04,Sample31,800,71.7
1,1,H04,Sample32,800,135.3
1,1,A05,Sample33,800,137.4
1,1,B05,Sample34,800,138
1,1,C05,Sample35,800,84.2
1,1,D05,Sample36,800,124.7
1,1,E05,Sample37,800,117.9
1,1,F05,Sample38,800,219.7
1,1,G05,Sample39,800,185.4
1,1,H05,Sample40,800,133.2
1,1,A06,Sample41,800,196.9
1,1,B06,Sample42,800,140.1
1,1,C06,Sample43,800,96.1
1,1,D06,Sample44,800,117.5
1,1,E06,Sample45,800,105.3
1,1,F06,Sample46,800,113.1
